warmup_steps,parameter,shape,mean_gradient_nuclear_rank,std_gradient_nuclear_rank,min_gradient_nuclear_rank,max_gradient_nuclear_rank,seeds
500,layer2.0.conv2.weight,128x128x3x3,44.9695405383818,6.4341064366580945,33.33123530315208,53.16379685854773,10
500,layer2.0.downsample.0.weight,128x64x1x1,16.88950675027514,2.640339974369706,12.775069064615945,20.492283602418176,10
500,layer2.1.conv1.weight,128x128x3x3,46.877458448408525,4.457210912111374,40.12992410815591,53.85978692426894,10
500,layer2.1.conv2.weight,128x128x3x3,38.6161109134545,6.863279527203877,28.716202540788565,47.98259061802946,10
500,layer3.0.conv1.weight,256x128x3x3,51.063285791654636,11.086884670466905,35.88033293499284,65.76638446455932,10
500,layer3.0.conv2.weight,256x256x3x3,54.805807507967145,12.637985650227595,35.35823810762979,75.37314531666877,10
500,layer3.0.downsample.0.weight,256x128x1x1,21.903722358555477,5.027900795215008,14.57117008223412,30.513630111946743,10
500,layer3.1.conv1.weight,256x256x3x3,51.58977512375223,12.706648619905781,31.718109966660883,70.53055116019016,10
500,layer3.1.conv2.weight,256x256x3x3,36.45645783760337,9.205577491095315,23.87425406851834,53.46920894313086,10
500,layer4.0.conv1.weight,512x256x3x3,26.894165182799167,5.529105471858331,19.973809071985983,38.98342375284689,10
500,layer4.0.conv2.weight,512x512x3x3,29.695132849394952,4.592433859216994,24.736097236463507,40.15820595821831,10
500,layer4.0.downsample.0.weight,512x256x1x1,14.131972134092724,2.3562375307126238,11.617859003432692,19.597109542672506,10
500,layer4.1.conv1.weight,512x512x3x3,23.367021501670628,2.5616182524015376,20.532203722795803,28.08974629376921,10
500,layer4.1.conv2.weight,512x512x3x3,21.192346077611642,1.4655085148006752,19.31225289721239,23.063214719007195,10
1000,conv1.weight,64x3x3x3,5.14830120943974,0.8379970455157189,3.8873057148668586,6.550450193667793,10
1000,fc.weight,100x512,22.699017788530305,3.478823825725224,14.435218724591069,26.09456195329086,10
1000,layer1.0.conv1.weight,64x64x3x3,19.93449251061454,2.190304921697455,17.88106540469607,24.56174245369993,10
1000,layer1.0.conv2.weight,64x64x3x3,26.95275427443849,2.146962679430651,24.66267584242774,31.001670783535342,10
1000,layer1.1.conv1.weight,64x64x3x3,24.994685158410125,2.2258260609502973,21.29204730037055,29.203634989249032,10
1000,layer1.1.conv2.weight,64x64x3x3,28.186014596354187,1.9459630057387944,24.59108096651248,31.074576898820958,10
1000,layer2.0.conv1.weight,128x64x3x3,39.42490713540695,3.573655541953623,33.84466418762988,44.93379090409773,10
1000,layer2.0.conv2.weight,128x128x3x3,50.163064669978525,5.299692663254164,42.26331074144691,62.18946863618299,10
1000,layer2.0.downsample.0.weight,128x64x1x1,18.621780652402997,1.8370332726913987,16.006232719552948,22.462357948142948,10
1000,layer2.1.conv1.weight,128x128x3x3,50.7186811723255,4.768832378144645,42.25476454629844,59.445444979558985,10
1000,layer2.1.conv2.weight,128x128x3x3,42.745397975351665,4.145105468696209,35.039282201797576,48.65224225069353,10
1000,layer3.0.conv1.weight,256x128x3x3,59.652731098434415,8.105633567497435,48.39458976268244,73.98943605534227,10
1000,layer3.0.conv2.weight,256x256x3x3,63.14806399406463,6.820913550246892,57.246010351952,78.73651707238905,10
1000,layer3.0.downsample.0.weight,256x128x1x1,24.34411952715762,2.3261704549080355,22.07943443797385,29.919034348883265,10
1000,layer3.1.conv1.weight,256x256x3x3,58.22079335878622,6.12858424416884,49.20267660546463,73.08569551836062,10
1000,layer3.1.conv2.weight,256x256x3x3,40.57295283997538,3.4671912896579222,35.587905802961004,48.34564918529819,10
1000,layer4.0.conv1.weight,512x256x3x3,40.38846657505722,5.988137492896795,29.99145680402768,48.86415425124422,10
1000,layer4.0.conv2.weight,512x512x3x3,40.598843485109995,3.56687443384512,35.533365946337774,45.59442658087102,10
1000,layer4.0.downsample.0.weight,512x256x1x1,17.02266268300749,1.0693139457159995,15.262193370075192,18.256779353233057,10
1000,layer4.1.conv1.weight,512x512x3x3,27.61374880897892,1.5979926486551899,24.167132025448144,30.17622610934025,10
1000,layer4.1.conv2.weight,512x512x3x3,18.684048246051326,0.7732594310172217,18.0319477049929,20.71639200303012,10
2000,conv1.weight,64x3x3x3,5.140360144241522,0.540530859562522,4.3891825886821545,5.736932300361234,10
2000,fc.weight,100x512,26.070108459301984,4.796481515528255,13.04340649459862,30.40090573675156,10
2000,layer1.0.conv1.weight,64x64x3x3,19.316910489963426,2.91763092259913,16.03338139746107,24.12873066234876,10
2000,layer1.0.conv2.weight,64x64x3x3,25.975528174483827,2.3435825637426237,22.624584363577004,30.829271966771618,10
2000,layer1.1.conv1.weight,64x64x3x3,24.06916458182013,1.8826573043556825,20.87376943177974,27.230306214601327,10
2000,layer1.1.conv2.weight,64x64x3x3,25.955311747169247,2.6178729421631477,22.323638226544663,32.34138179441945,10
2000,layer2.0.conv1.weight,128x64x3x3,35.13931122974868,2.985799236068798,30.10368539191127,40.48730144638361,10
2000,layer2.0.conv2.weight,128x128x3x3,44.506581947283436,5.2620843374056285,40.086408697534345,58.206341093378576,10
2000,layer2.0.downsample.0.weight,128x64x1x1,16.446050625748114,2.1430989388545942,14.83112683775463,21.96421083357762,10
