hidden_dim,num_samples,algo,baseline,metric,n_pairs,higher_than_adam_pairs,win_rate_vs_adam,geomean_ratio_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_vs_adam,delta_ci95_low,delta_ci95_high
32,1024,Muon,Adam,update_grad_inner,50,0,0.0,0.7255113234986258,0.6915894188553211,0.7610970702760887,False,True,-0.000907772349199259,-0.001112646424377024,-0.000702898274021494
32,1024,Muon,Adam,update_grad_cosine,50,3,0.06,0.9310878001877926,0.9182437404001561,0.9441115180167206,False,True,-0.042773517123975854,-0.05090867682807426,-0.03463835741987745
32,1024,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5665413153839004,0.5305264918893281,0.6050010073839569,False,True,-0.0014322412208596358,-0.0017154501960860522,-0.0011490322456332194
32,1024,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.5915311774235258,0.5522744245672069,0.6335783775217749,False,True,-0.0012945290611025445,-0.001562594785989435,-0.0010264633362156539
32,1024,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.6399571065162873,0.6040682871758324,0.6779781472975889,False,True,-0.21393054126310085,-0.23688465463256353,-0.19097642789363817
32,1024,MuonFirstAdamSecond,Adam,delta_loss,50,1,0.02,0.7033920392003318,0.674110749549369,0.7339452176680753,False,True,-0.0009865722898415718,-0.00118107546800343,-0.0007920691116797134
32,1024,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.6991303831256082,0.6725952628768973,0.7267123626751142,False,True,-0.0009366403049711799,-0.0011161381925913385,-0.0007571424173510213
32,1024,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.6530781227411618,0.6232800864101703,0.6843007561169542,False,True,-0.2093962711592163,-0.22951983442890173,-0.18927270788953088
64,128,Muon,Adam,delta_loss,50,0,0.0,0.4627551995400163,0.4195167577987286,0.510450108894242,False,True,-0.0042639896218937155,-0.005217532932403116,-0.003310446311384315
64,128,Muon,Adam,update_grad_inner,50,0,0.0,0.4787561533638391,0.43581486010195525,0.5259284970919041,False,True,-0.003926933248440801,-0.004807286226591639,-0.003046580270289964
64,128,Muon,Adam,update_grad_cosine,50,1,0.02,0.7444767698825575,0.7180129148772807,0.7719160051452495,False,True,-0.14179250622615228,-0.1583823194667784,-0.12520269298552616
64,128,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5338119132116748,0.4958842775253991,0.5746404385085857,False,True,-0.0037262997129247745,-0.0045528600071146706,-0.0028997394187348785
64,128,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.5661576842032331,0.5238927942922531,0.6118322810974909,False,True,-0.0033388039909776263,-0.004113424485124147,-0.0025641834968311065
64,128,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.5999757424083929,0.5597132859129232,0.6431344413977416,False,True,-0.2090234661785616,-0.23190666757819053,-0.18614026477893267
64,128,MuonFirstAdamSecond,Adam,delta_loss,50,0,0.0,0.5858941431945058,0.5479642604449605,0.626449518351578,False,True,-0.0033605147240224386,-0.004120915924262879,-0.0026001135237819976
64,128,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.5853106251422617,0.5504077346751238,0.6224268052966895,False,True,-0.0031599544923532363,-0.003859312171981709,-0.0024605968127247636
64,128,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.6227351293453476,0.5896248635671587,0.6577046954475932,False,True,-0.20273703366697401,-0.22281597646927306,-0.18265809086467497
64,1024,Muon,Adam,delta_loss,50,0,0.0,0.498847036446545,0.45963699317012346,0.5414019529959708,False,True,-0.003082789110495581,-0.003718256584364429,-0.002447321636626733
64,1024,Muon,Adam,update_grad_inner,50,0,0.0,0.5089383894405173,0.4710414762623796,0.5498842401343641,False,True,-0.0028648767079396857,-0.0034521749461274434,-0.002277578469751928
64,1024,Muon,Adam,update_grad_cosine,50,0,0.0,0.7361053658175485,0.7286173329914083,0.7436703534909954,False,True,-0.1605879283578966,-0.1666243180465471,-0.1545515386692461
