hidden_dim,num_samples,layer,algo,fro_fraction,fro_sq_fraction,efficiency,inner,fro_fraction_ratio_over_adam,fro_sq_fraction_ratio_over_adam,efficiency_ratio_over_adam,inner_ratio_over_adam
32,1024,1,MuonFirstAdamSecond,0.3582172465954786,0.12872898714415767,0.028611544286920986,0.0007282796890444117,0.39116807077519383,0.1534983947541476,1.0711909768453234,0.42600033161151407
32,1024,2,Muon,0.4879500364742666,0.23809523809523805,0.028058514560676765,0.0008872881377273733,1.2149388880993932,1.475499027739585,0.7034304264694398,0.7878419174454018
32,1024,2,AdamFirstMuonSecond,0.10894341408458835,0.01203231113045599,0.03928511085093908,0.0003081731212376019,0.27125644119233894,0.07456538617268162,0.984882582433785,0.2736334370059688
32,1024,2,MuonFirstAdamSecond,0.9333896849220635,0.8712710128558423,0.01809213774181951,0.0011708815197243314,2.3240318499749923,5.399350035939212,0.4535721283445228,1.0396504837354648
64,128,1,Muon,0.9299811099505543,0.8648648648648648,0.020030140078527946,0.001602411206282236,1.0207948021647435,1.042006829261222,0.4418701893945327,0.39993566773854405
64,128,1,AdamFirstMuonSecond,0.9957215889351764,0.9914629774904143,0.03007814307947149,0.0028230494825553305,1.0929549122156785,1.1945348174897827,0.66353179393934,0.704587046969177
64,128,1,MuonFirstAdamSecond,0.39325811902797625,0.1556250680124128,0.032320639084940914,0.0012533142298345882,0.43166021279097366,0.18750025612211008,0.7130018491046297,0.3128067636009965
64,128,2,Muon,0.36760731104690386,0.13513513513513511,0.040652603080415094,0.0012855481854888886,0.8917319174844407,0.794908954316895,0.583663134020282,0.45778040209294485
64,128,2,AdamFirstMuonSecond,0.09127758488750531,0.008537022509585582,0.06982697986767211,0.000653039166678969,0.22141870781427012,0.05021755170695108,1.0025295016931177,0.23254556747015373
64,128,2,MuonFirstAdamSecond,0.9188138208220066,0.8443749319875872,0.027715083123598053,0.0024016239180241028,2.228833827922079,4.966888837358627,0.39791479634289373,0.8552120996157012
64,1024,1,Muon,0.9299811099505543,0.8648648648648648,0.016988195385197857,0.001359055630815829,1.0161269072699233,1.0325046168049539,0.4688214073644033,0.4233264533578421
64,1024,1,AdamFirstMuonSecond,0.9967998562866959,0.9936105156408133,0.024250319925923004,0.002272181170058207,1.0891351924229487,1.1862054829402608,0.6692334800089682,0.7077520406797535
64,1024,1,MuonFirstAdamSecond,0.3636592887129795,0.13273201830357287,0.028630918145132012,0.001018557047086166,0.3973456927093358,0.15845992508632217,0.7901243795813271,0.31726599891042606
64,1024,2,Muon,0.36760731104690386,0.13513513513513511,0.03444463100670074,0.0010892348714523284,0.9124168393501392,0.8323064744777997,0.6465094077632101,0.5180055721139851
64,1024,2,AdamFirstMuonSecond,0.07930098287145831,0.006389484359186828,0.05467324599206438,0.0004344655581335296,0.1968283817394032,0.03935326808537116,1.0261909288546478,0.20661804529330174
64,1024,2,MuonFirstAdamSecond,0.9312365297431703,0.867267981696427,0.022645241624135524,0.001994051295320707,2.3113683151074307,5.341562396421904,0.42504045835841775,0.9483075772996341
128,128,1,Muon,0.9299811099505543,0.8648648648648648,0.02591056032265611,0.002072844825812489,1.022248204081731,1.04497547445234,0.4724817135822503,0.4527395584544847
128,128,1,AdamFirstMuonSecond,0.9978603182864518,0.9957255566223349,0.04016031362887986,0.003621399553876828,1.0968619764190533,1.2030882837613301,0.7323274203677512,0.7909665087288005
128,128,1,MuonFirstAdamSecond,0.2940948945282504,0.08715173365806103,0.03762033974540723,0.001034270984416595,0.32327320904087453,0.10530133426440699,0.6860107372094965,0.22589987584985444
