hidden_dim,num_samples,algo,layer,points,mean_update_grad_inner,mean_update_grad_cosine,mean_nrG,mean_stA
16,1024,Muon,2,50,0.0007424958056511072,0.7751446160723764,6.022609643258578,1.473906754396359
16,1024,MuonFirstAdamSecond,1,50,0.0005626138523666563,0.5639394043572381,5.113389564232157,1.4358601595714189
16,1024,MuonFirstAdamSecond,2,50,0.0007359371966349368,0.7076613094009186,5.732946111496467,1.503225702106908
32,128,Adam,1,50,0.0021492218751471607,0.6340271791297262,5.601687112654755,1.4326331193696915
32,128,Adam,2,50,0.0015188428467689669,0.6398601511076073,4.291468853408169,1.1911855061674623
32,128,AdamFirstMuonSecond,1,50,0.0015445154481036648,0.5982255742522452,5.917785756538401,1.4326331193696915
32,128,AdamFirstMuonSecond,2,50,0.0004812985929581291,0.6508188713443858,4.277533328747154,1.1925001394194548
32,128,Muon,1,50,0.0012295664198200115,0.4398054052993549,6.2204461070270325,1.4326331193696915
32,128,Muon,2,50,0.0010098851544024048,0.7339932211136584,5.406222898722789,1.3905591506592068
32,128,MuonFirstAdamSecond,1,50,0.0009277237405206988,0.41766588269269356,5.620457928437195,1.4326331193696915
32,128,MuonFirstAdamSecond,2,50,0.0013833675933647121,0.6127314180236453,5.408095344899496,1.3865078789411869
32,1024,Adam,1,50,0.0017095754040599143,0.6808233970653638,6.9107892307500665,1.4358601595714189
32,1024,Adam,2,50,0.0011262261096800085,0.7337534427354575,5.674463296662433,1.2838407760535686
32,1024,AdamFirstMuonSecond,1,50,0.0012330993313997766,0.6574929298322679,7.320109537136156,1.4358601595714189
32,1024,AdamFirstMuonSecond,2,50,0.0003081731212376019,0.7536944728569904,5.691945105364211,1.2764230352870394
32,1024,Muon,1,50,0.0010407410268132907,0.47797399458482515,7.322563853052298,1.4358601595714189
32,1024,Muon,2,50,0.0008872881377273733,0.8080573631369102,6.5366008470123385,1.4299715071578682
32,1024,MuonFirstAdamSecond,1,50,0.0007282796890444117,0.44172417513471646,6.266476033613908,1.4358601595714189
32,1024,MuonFirstAdamSecond,2,50,0.0011708815197243314,0.6956152871743444,6.447487298493048,1.4296069120404191
64,128,Adam,1,50,0.004006672411448444,0.6368609526737116,6.324176396644547,1.4326331193696915
64,128,Adam,2,50,0.0028082202287634827,0.6333891508532575,4.48416147042782,1.184472666790766
64,128,AdamFirstMuonSecond,1,50,0.0028230494825553305,0.6025278560252391,6.757282701020485,1.4326331193696915
64,128,AdamFirstMuonSecond,2,50,0.000653039166678969,0.6667680273518154,4.4871539365632325,1.185959131584153
64,128,Muon,1,50,0.001602411206282236,0.3268403001291816,6.864654237321131,1.4326331193696915
64,128,Muon,2,50,0.0012855481854888886,0.7355256651153074,5.43676843123834,1.3305415384279409
64,128,MuonFirstAdamSecond,1,50,0.0012533142298345882,0.3073693892637861,6.093995734031771,1.4326331193696915
64,128,MuonFirstAdamSecond,2,50,0.0024016239180241028,0.5769135534538524,5.332861645216849,1.315754141178975
64,1024,Adam,1,50,0.003210419807304141,0.6669674218009902,7.617773084697908,1.4358601595714189
64,1024,Adam,2,50,0.0021027474029037016,0.7224086405298868,5.969369679674367,1.2793033625842083
64,1024,AdamFirstMuonSecond,1,50,0.002272181170058207,0.6417206968573111,8.083937113804103,1.4358601595714189
64,1024,AdamFirstMuonSecond,2,50,0.0004344655581335296,0.7734319127105067,5.993304016863615,1.2731749930681626
64,1024,Muon,1,50,0.001359055630815829,0.3565304988406387,8.145270566280063,1.4358601595714189
64,1024,Muon,2,50,0.0010892348714523284,0.8166837026525365,6.675767639346418,1.3604044576537353
64,1024,MuonFirstAdamSecond,1,50,0.001018557047086166,0.3290066195321089,6.953504382755258,1.4358601595714189
64,1024,MuonFirstAdamSecond,2,50,0.001994051295320707,0.6600915933329351,6.596669971721289,1.3455943423003112
128,128,Adam,1,50,0.004578448662380092,0.6274773112113192,6.681642651821999,1.4326331193696915
128,128,Adam,2,50,0.002854971436542724,0.6213920518620093,4.717995355912738,1.2086437015939453
