seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail
10,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.15050080448482459,0.14757406868257614,0.002926735802248448,0.027667721688637646,0.003010016089696492,11.757396146541543,11.762913664854434,0.005517518312890601,0.185,0.185,0.0,-10.906409487102014,-10.920220032619836,0.013810545517822348,0.185,1.0,0.01,0.0,0.72956448880277,0.016313557909328775,0.7295130422119851,0.12549653395054852,0.33107488489372516,0.3830753648784793,0.02708751882110837,0.7295025721834751,6.745006862223982e-05,9.246035750135181e-05,0.005458192754000373,0.005140338755425567,0.005458192754000374,0.5514675324520951,2.9092876836213986,1.236805975447682,2.317769168102913
10,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.15050080448482459,0.14754749645495718,0.002953308029867402,0.018839786279949085,0.003010016089696492,11.757396146541543,11.763613347579735,0.006217201038191789,0.185,0.185,0.0,-10.906409487102014,-10.918959757197612,0.012550270095598393,0.185,1.0,0.005,0.0,0.5518179313206157,0.012339024056362063,0.5515124920628163,0.11076377140656238,0.2881035620431395,0.32686293729279337,0.023112699947828743,0.5518538277518107,0.0004002272903103214,0.0007252414863928761,0.018888870804657478,0.0029146160421598057,0.002914616042159804,1.032731600374365,2.9092876836213986,1.236805975447682,2.317769168102913
11,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1507004097549547,0.147758417447481,0.0029419923074736898,0.023893726547427777,0.003014008195099094,12.336867973568351,12.342668098738459,0.0058001251701078615,0.2,0.2,0.0,-11.442906104689582,-11.456650135245955,0.013744030556372522,0.2,1.0,0.01,0.0,0.838890205075978,0.018758155242086266,0.8388535419043479,0.16349816058866948,0.3310902203724074,0.3927613603393021,0.027772422128397357,0.8389034964767301,4.483418475032232e-05,5.344379292566931e-05,0.006046439199181808,0.00551090349599931,0.006046439199181807,0.49847655716226236,3.295597088971876,1.2321490716387244,2.6400486964944374
11,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1507004097549547,0.14774823712813512,0.0029521726268195714,0.02051605844339434,0.003014008195099094,12.336867973568351,12.339943346059664,0.0030753724913132885,0.2,0.2,0.0,-11.442906104689582,-11.451743398149041,0.008837293459459161,0.2,1.0,0.01,0.0,0.5872870176062449,0.013132136936706798,0.5868426019201887,0.12643330101376252,0.27798463274355917,0.3065864364542414,0.021678934823661258,0.5873991595188411,0.0011679880917689605,0.001988406133787627,0.019212905050193192,0.002964615611748407,0.002964615611748404,1.0166607040571982,3.295597088971876,1.2321490716387244,2.6400486964944374
12,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.10239058154958997,0.10040971845290458,0.0019808630966853813,0.03269272099699587,0.0020478116309917993,11.692237031888524,11.688894341268368,-0.0033426906201565743,0.19,0.19,0.0,-10.682582505466309,-10.676346079102041,-0.0062364263642678,0.19,1.0,0.0,0.0,0.5623177521919284,0.012573807188560323,0.5623088696232779,0.02246339542611833,0.15703741192351267,0.15509150202405245,0.010966625278561465,0.5622396332490628,8.377221761112742e-05,0.00014899735389877386,0.004235900177334726,0.0038302330466865684,0.004235900177334726,0.4834419002480612,2.0542654766128714,1.2364002624887283,1.6627484725339872
12,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.10239058154958997,0.10038113456257491,0.002009446987015051,0.018734459457175435,0.0020478116309917993,11.692237031888524,11.692310970896497,7.393900797225683e-05,0.19,0.19,0.0,-10.682582505466309,-10.682007204954093,-0.0005753005122155486,0.19,1.0,0.0,0.0,0.4792478964129945,0.01071630874453233,0.4790997171987707,0.046140179796103534,0.14227425020570478,0.14350659894674112,0.010147448926025891,0.4792354115296909,0.000252637956264385,0.0005271687988539488,0.014869883322360692,0.0022944728101856973,0.002294472810185696,0.8924976673949193,2.0542654766128714,1.2364002624887283,1.6627484725339872
13,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2983265704719595,0.29247417857127816,0.00585239190068132,0.01912996026088102,0.00596653140943919,11.798497151250212,11.804924886317151,0.006427735066939277,0.175,0.175,0.0,-10.978011469887065,-10.990539870199663,0.01252840031259872,0.175,1.0,0.01,0.0,1.0291788608464079,0.02301313893858365,1.0291606763050873,0.15362691671206397,0.2741423483003943,0.33650370965578463,0.023794405499203444,1.0290474072591071,0.00023265240126522086,0.000226085212035951,0.0077236958932418495,0.006411081662387868,0.007723695893241851,0.772496935652249,3.1275895819911073,1.2238854867405937,2.560102197792144
13,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.2983265704719595,0.2924395574764284,0.005887012995531071,0.013327410592747158,0.00596653140943919,11.798497151250212,11.803305788943995,0.0048086376937828135,0.175,0.175,0.0,-10.978011469887065,-10.987263519617555,0.009252049730489986,0.175,1.0,0.01,0.0,0.7259980678081395,0.01623381031152502,0.725813745983349,0.10961581232489896,0.21435635304183678,0.25878329684846674,0.01829874240593621,0.7259780588560925,0.0008612401417094861,0.001186317039755338,0.022510217566060083,0.0034734019788185996,0.0034734019788185983,1.7177773968645502,3.1275895819911073,1.2238854867405937,2.560102197792144
14,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.08769912055751515,0.0860170775765476,0.001682042980967552,0.041014909685195555,0.001753982411150303,11.872463839575502,11.872665482594455,0.0002016430189524243,0.17,0.175,-0.004999999999999977,-11.114137358697672,-11.114769626823936,0.0006322681262638241,0.17,0.9705882352941176,0.005,0.0,0.8295932917924772,0.018550269941257972,0.8295743877467265,0.04473371309243777,0.29787174418451545,0.29377086636130684,0.020772737171912706,0.8295429629836316,0.00013526543665088632,0.00016306019421149059,0.005844770107144735,0.00494526959957322,0.005844770107144735,0.30009433715899425,2.697432100300075,1.2206392561552022,2.2207234058691645
14,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.08769912055751515,0.08598606398103328,0.0017130565764818667,0.02333309297075349,0.001753982411150303,11.872463839575502,11.875247951970412,0.0027841123949094992,0.17,0.175,-0.004999999999999977,-11.114137358697672,-11.118600202541083,0.004462843843411335,0.17,0.9705882352941176,0.005,0.0,0.627141328534006,0.014023306421015659,0.6268611056746296,0.06869848257756603,0.244900221116295,0.25106136135021895,0.017752719110466594,0.6270484974162779,0.0020720253062760235,0.0033044099695856075,0.01815981687736282,0.002802120578875222,0.0028021205788752194,0.6259482280574655,2.697432100300075,1.2206392561552022,2.2207234058691645
