seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,partition_name
4,frobenius,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.0807559078992827,0.0791604609431898,0.0015954469560928,0.0121794196885808,0.0016151181579856,11.052107792890816,11.052276419531424,0.0001686266406064,0.18,0.18,0.0,-9.943327465736049,-9.948246963634702,0.0049194978986548,0.18,1.0,0.0,0.0,0.5171097267369563,0.0115629250081017,0.51699179339744,0.1474590232647172,0.1609548819046301,0.2471186281729785,0.017473925773863,0.5171095914010768,4.6572067184080165e-05,9.006227685295103e-05,0.0041853991145413,0.0035289805393658,0.0041853991145413,0.3858934629135475,3.258327710245971,1.2908327791141805,2.518719326675695,mixed_a
4,spectral,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.0807559078992827,0.0791577223665902,0.0015981855326925,0.0104838306779173,0.0016151181579856,11.052107792890816,11.051542509201314,-0.0005652836895038,0.18,0.18,0.0,-9.943327465736049,-9.946255087847865,0.0029276221118159,0.18,1.0,0.0,0.0,0.3692775701200257,0.0082572974935432,0.368456870521456,0.1195403522016518,0.1555162057316621,0.2212376575374706,0.0156438647898572,0.369275625624968,0.0001506033860265,0.0004078346242637,0.0123117402527876,0.0018997427648682,0.0018997427648682,0.8501772912911434,3.258327710245971,1.2908327791141805,2.518719326675695,mixed_a
5,frobenius,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1768820877386771,0.1733947134403317,0.0034873742983453,0.0142093122799531,0.0035376417547735,11.706636261587262,11.700481628939224,-0.0061546326480375,0.18,0.18,0.0,-10.67125026424359,-10.670659257822733,-0.0005910064208567,0.18,0.9722222222222222,0.005,0.0,1.0624316411179324,0.0237566937098635,1.0622735329697923,0.0924195797943022,0.4057328264915421,0.4437869234823672,0.0313804742996297,1.0624435635464278,0.0003102863667484,0.0002920497402353,0.0074303048361263,0.0064816423014895,0.0074303048361263,0.4761099083813426,2.9678139002296016,1.2690699510879262,2.327486081255397,mixed_a
5,spectral,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1768820877386771,0.1733850331739266,0.0034970545647504,0.0114729508628961,0.0035376417547735,11.706636261587262,11.702076522114696,-0.0045597394725653,0.18,0.18,0.0,-10.67125026424359,-10.669745634799042,-0.0015046294445468,0.18,0.9722222222222222,0.005,0.0,0.7440208919738182,0.0166368129113348,0.7437499730381996,0.0918838257593527,0.3488009425705363,0.3678269277579152,0.0260092914920636,0.7439923601434355,0.0005446773668968,0.000732100752744,0.0221163743741356,0.0034126306549448,0.0034126306549448,1.0366318867960438,2.9678139002296016,1.2690699510879262,2.327486081255397,mixed_a
6,frobenius,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1150147952201293,0.1127473455595142,0.002267449660615,0.0142791384902378,0.0023002959044025,12.469264972830633,12.468313273166798,-0.0009516996638332,0.175,0.175,0.0,-11.391997627595442,-11.396621860958572,0.0046242333631294,0.175,1.0,0.01,0.0,0.7376707588482382,0.0164948196179851,0.7374568601854187,0.1203766940409145,0.3694658233468108,0.4147807474830638,0.0293294279250899,0.7376180089408501,7.649903773284642e-05,0.0001037109137867,0.0051422712337121,0.0044150272388647,0.0051422712337121,0.4473307221373552,3.025780048197636,1.2635552123896256,2.395341866782835,mixed_a
6,spectral,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1150147952201293,0.1127406142929564,0.0022741809271728,0.0113528773318848,0.0023002959044025,12.469264972830633,12.466516556799682,-0.0027484160309487,0.175,0.175,0.0,-11.391997627595442,-11.39310717202277,0.0011095444273276,0.175,1.0,0.005,0.0,0.5214118923784334,0.0116591243563498,0.5206536251625171,0.1062118246455391,0.3129931479099535,0.3486066253700498,0.024650210876572,0.5214086570476109,0.0002626056558132,0.0005036465203708,0.0153661071120464,0.002371041803265,0.002371041803265,0.9701625257028028,3.025780048197636,1.2635552123896256,2.395341866782835,mixed_a
7,frobenius,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.0781283883389804,0.07659097475713,0.0015374135818503,0.0160979801734141,0.0015625677667796,11.948911030611637,11.943899117188556,-0.0050119134230808,0.175,0.175,0.0,-10.90482216764035,-10.904616028060476,-0.0002061395798751,0.175,1.0,0.01,0.0,0.63131651581391,0.0141166664467822,0.6312981662168387,0.1165638053615844,0.2550187385151222,0.3162666651356525,0.0223634303580674,0.6313064761331003,0.0002864605370948,0.0004537582741896,0.0051655244034388,0.0042383586051179,0.0051655244034388,0.3024993485151958,3.5379092248957287,1.293602481844474,2.719853792624864,mixed_a
7,spectral,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.0781283883389804,0.0765853953386538,0.0015429930003265,0.0125273072113598,0.0015625677667796,11.948911030611637,11.943897867294352,-0.0050131633172831,0.175,0.175,0.0,-10.90482216764035,-10.902381007524792,-0.0024411601155573,0.175,1.0,0.005,0.0,0.4682857966747634,0.0104711887426241,0.4681599357045633,0.0703515146888057,0.2411954885060994,0.2692220881602413,0.0190368764183309,0.4683675240468091,0.0022087443237593,0.0047158357707537,0.0149432209456391,0.0023057890511358,0.0023057890511358,0.6776716048720478,3.5379092248957287,1.293602481844474,2.719853792624864,mixed_a
8,frobenius,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1224933619354194,0.120077362525665,0.0024159994097544,0.013824352772598,0.0024498672387083,11.98497906727244,11.983938676221667,-0.0010403910507719,0.17,0.17,0.0,-11.040628344534866,-11.043690959223412,0.003062614688547,0.17,1.0,0.0,0.0,0.6349733913553421,0.0141984366697412,0.6349713191116767,0.1204873542745124,0.3351793906107592,0.3838912901013896,0.0271452134469144,0.6349480705275359,2.9680682280699688e-05,4.674505468776367e-05,0.0046902651508584,0.0043691501144917,0.0046902651508584,0.5223302222604597,3.2416286726189565,1.2672736056599296,2.524895040982739,mixed_a
8,spectral,"0,1,5,6,7","2,3,4,8,9",500,200,200,80,32,0.1224933619354194,0.1200711253113891,0.0024222366240303,0.011278413067224,0.0024498672387083,11.98497906727244,11.984869089611973,-0.00010997766047,0.17,0.17,0.0,-11.040628344534866,-11.04399500040111,0.0033666558662428,0.17,1.0,0.0,0.0,0.4434100896687434,0.0099149510240858,0.4431303314380419,0.124985500588215,0.2604858551562041,0.2967808313315899,0.0209855738360748,0.4433759859885772,0.0002579631502057,0.0005818157914678,0.0155422411085339,0.0023982198689653,0.0023982198689653,1.0215357108876577,3.2416286726189565,1.2672736056599296,2.524895040982739,mixed_a
