seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
2,spectral,layer1.1.conv2.weight,64x64x3x3,18.095601987622363,63.99999999788141,250
2,spectral,layer2.0.conv1.weight,128x64x3x3,25.06460030401107,127.99999995309287,250
2,spectral,layer2.0.conv2.weight,128x128x3x3,33.5738719382087,127.99999995482156,250
2,spectral,layer2.0.downsample.0.weight,128x64x1x1,13.506189061914254,63.999999997888466,250
2,spectral,layer2.1.conv1.weight,128x128x3x3,30.298396101690976,127.99999994678942,250
2,spectral,layer2.1.conv2.weight,128x128x3x3,27.230460666232215,127.99999995133273,250
2,spectral,layer3.0.conv1.weight,256x128x3x3,34.01129843740306,255.99999988875788,250
2,spectral,layer3.0.conv2.weight,256x256x3x3,35.04109204809401,255.99999990386314,250
2,spectral,layer3.0.downsample.0.weight,256x128x1x1,13.819722739262293,127.99999994670864,250
2,spectral,layer3.1.conv1.weight,256x256x3x3,36.52210121993977,255.99999990816553,250
2,spectral,layer3.1.conv2.weight,256x256x3x3,26.40352689787445,255.9999999100903,250
2,spectral,layer4.0.conv1.weight,512x256x3x3,28.8134075780699,511.99999948188594,250
2,spectral,layer4.0.conv2.weight,512x512x3x3,34.38664943207225,511.9999994811583,250
2,spectral,layer4.0.downsample.0.weight,512x256x1x1,14.445785809199162,255.99999988415425,250
2,spectral,layer4.1.conv1.weight,512x512x3x3,30.87887717840647,511.9999994911734,250
2,spectral,layer4.1.conv2.weight,512x512x3x3,28.699374510847427,511.9999995107443,250
2,spectral,fc.weight,100x512,13.095493647043385,99.99999999511681,250
3,frobenius,conv1.weight,64x3x3x3,3.305830182636453,3.305827178638407,250
3,frobenius,layer1.0.conv1.weight,64x64x3x3,7.6179399406457,7.617943193973816,250
3,frobenius,layer1.0.conv2.weight,64x64x3x3,10.493407546257197,10.49345926575377,250
3,frobenius,layer1.1.conv1.weight,64x64x3x3,7.935569514283708,7.935544049410583,250
3,frobenius,layer1.1.conv2.weight,64x64x3x3,9.081223997657947,9.081199684576022,250
3,frobenius,layer2.0.conv1.weight,128x64x3x3,11.951963459812019,11.952071244534324,250
3,frobenius,layer2.0.conv2.weight,128x128x3x3,16.43384533390626,16.433572133326848,250
3,frobenius,layer2.0.downsample.0.weight,128x64x1x1,7.083622776390387,7.08359422011241,250
3,frobenius,layer2.1.conv1.weight,128x128x3x3,16.500211093217807,16.500202852988743,250
3,frobenius,layer2.1.conv2.weight,128x128x3x3,13.984658128067792,13.984755767543472,250
3,frobenius,layer3.0.conv1.weight,256x128x3x3,18.62454177727668,18.62438297567552,250
3,frobenius,layer3.0.conv2.weight,256x256x3x3,20.789632867154495,20.789204459150493,250
