algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,p,q,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,20,1,0.0018257096088704898,0.0014999341671818654,41,29.18424129486084,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,20,1,0.0018467033672694456,0.0015261932007876538,41,28.90058922767639,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,20,1,0.0015824880740211926,0.0014764581347169355,39,28.764338493347168,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,20,2,0.0020958586608833788,0.0015578014558479505,39,28.76946187019348,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,20,2,0.002271435719731021,0.0013994843477807147,39,28.789034605026245,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,20,2,0.001875192020362091,0.0015368551075344119,39,28.367656469345093,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,20,2,0.002088788128719584,0.0015043902621419416,39,28.485230684280396,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,20,2,0.0025078465692087533,0.0014768410579210163,40,28.57442831993103,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,20,2,0.0019131067472595595,0.0014705588346426144,40,28.80715322494507,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,20,2,0.002100775657881318,0.0014447219453059114,39,28.472673177719116,1,99547500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,20,2,0.0021642511715993856,0.0015218416754644133,40,28.740552186965942,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,20,2,0.0023019021153071074,0.0013768815236428825,41,28.566782236099243,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,20,2,0.002549574258168833,0.0014445790648745524,39,28.551551580429077,1,99547500
