algo,d,r,lr,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,1.0,4,2000,0.006187367673491085,0.004742497483873532,104,30.700257062911987,1,442260000
Muon-Exact,50,5,0.01,1.0,5,2000,0.004805193392708513,0.004326093380773587,104,31.011168718338013,1,442260000
Muon-Exact,50,5,0.01,1.0,6,2000,0.0049792511716748025,0.004581779491715207,106,30.98417830467224,1,450765000
Muon-Exact,50,5,0.01,1.0,7,2000,0.0050067635263000634,0.004561441464238571,103,30.919950485229492,1,438007500
Muon-Exact,50,5,0.01,10.0,0,2000,0.005009530516269065,0.004427188014337651,469,30.932706117630005,1,1994422500
Muon-Exact,50,5,0.01,10.0,1,2000,0.004938330063738309,0.004351219952818017,475,31.240710258483887,1,2019937500
Muon-Exact,50,5,0.01,10.0,2,2000,0.005920154270199075,0.0044427758292449986,455,31.32191753387451,1,1934887500
Muon-Exact,50,5,0.01,10.0,3,2000,0.004857820039760064,0.004247712499802246,464,32.188539028167725,1,1973160000
Muon-Exact,50,5,0.01,10.0,4,2000,0.006173770260372823,0.0044592187957117274,478,31.210503816604614,1,2032695000
Muon-Exact,50,5,0.01,10.0,5,2000,0.005898519317517752,0.004200311599009827,459,31.21215844154358,1,1951897500
Muon-Exact,50,5,0.01,10.0,6,2000,0.006118148579665734,0.004459446491691142,478,31.282389402389526,1,2032695000
Muon-Exact,50,5,0.01,10.0,7,2000,0.006080481581047775,0.004325962785165559,459,32.97003698348999,1,1951897500
SGD,50,5,0.01,0.001,0,2000,3.563099494607971e-32,2.3501078896215718e-32,46,34.662439584732056,1,115115000
SGD,50,5,0.01,0.001,1,2000,2.70734231554833e-32,2.3961361106596576e-32,46,33.864184617996216,1,115115000
SGD,50,5,0.01,0.001,2,2000,2.7985651910704465e-32,2.293987193821789e-32,46,29.805973529815674,1,115115000
SGD,50,5,0.01,0.001,3,2000,4.13159429188598e-32,2.8025545743943123e-32,47,28.67590045928955,1,117617500
SGD,50,5,0.01,0.001,4,2000,3.735144923025959e-32,2.6059336780328356e-32,48,28.05818271636963,1,120120000
SGD,50,5,0.01,0.001,5,2000,3.186673778638502e-32,2.4968670615759707e-32,48,28.42403793334961,1,120120000
SGD,50,5,0.01,0.001,6,2000,3.069186033499804e-32,2.3116600084739724e-32,48,27.630432844161987,1,120120000
SGD,50,5,0.01,0.001,7,2000,3.400214872341082e-32,2.658881103322686e-32,47,27.962692260742188,1,117617500
SGD,50,5,0.01,0.01,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,27.81686282157898,1,115115000
SGD,50,5,0.01,0.01,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,28.092347860336304,1,115115000
SGD,50,5,0.01,0.01,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,28.007623195648193,1,117617500
SGD,50,5,0.01,0.01,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,27.8282310962677,1,117617500
SGD,50,5,0.01,0.01,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,28.302443981170654,1,120120000
SGD,50,5,0.01,0.01,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,29.089580297470093,1,122622500
SGD,50,5,0.01,0.01,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,28.185983419418335,1,120120000
SGD,50,5,0.01,0.01,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,29.277508020401,1,117617500
SGD,50,5,0.01,0.1,0,2000,2.79771925643503e-31,2.1819580457206264e-31,63,29.311310529708862,1,157657500
SGD,50,5,0.01,0.1,1,2000,2.6493920464866903e-31,2.321550621703373e-31,64,29.077833652496338,1,160160000
SGD,50,5,0.01,0.1,2,2000,2.9946521835401535e-31,2.178699221791446e-31,64,29.13968849182129,1,160160000
SGD,50,5,0.01,0.1,3,2000,3.083952168476076e-31,2.37098542160856e-31,64,28.734126567840576,1,160160000
SGD,50,5,0.01,0.1,4,2000,2.4411999824634023e-31,1.9934058629538148e-31,64,28.620782375335693,1,160160000
SGD,50,5,0.01,0.1,5,2000,2.7143425894136916e-31,2.126922400795918e-31,64,28.12324833869934,1,160160000
SGD,50,5,0.01,0.1,6,2000,2.6764672511273723e-31,2.199169810799717e-31,64,27.895144939422607,1,160160000
SGD,50,5,0.01,0.1,7,2000,3.1501319060974273e-31,2.1655067521356704e-31,64,28.586281299591064,1,160160000
SGD,50,5,0.01,1.0,0,2000,2.5878459509640095e-29,1.835952423616335e-29,106,28.38668179512024,1,265265000
SGD,50,5,0.01,1.0,1,2000,2.727102318259144e-29,2.059736950983552e-29,105,28.613574743270874,1,262762500
SGD,50,5,0.01,1.0,2,2000,2.184609203844872e-29,2.0101318146118458e-29,106,28.578705549240112,1,265265000
SGD,50,5,0.01,1.0,3,2000,2.615690434617203e-29,2.0071307767066485e-29,106,28.428510904312134,1,265265000
SGD,50,5,0.01,1.0,4,2000,2.1714717507853702e-29,1.7976182418494886e-29,106,28.178975820541382,1,265265000
SGD,50,5,0.01,1.0,5,2000,2.322676582941585e-29,1.932080425738761e-29,105,26.8827064037323,1,262762500
SGD,50,5,0.01,1.0,6,2000,2.081228234714099e-29,1.8360810802505184e-29,106,26.54368782043457,1,265265000
