algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,gamma,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.0,2.8055155721156574e-30,2.8055155721156574e-30,55,379.39186811447144,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,3.0,2.8617868395259043e-30,2.8479768713903575e-30,55,378.89792704582214,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,3.0,2.952519281213193e-30,2.9377579783149043e-30,56,377.1010642051697,1,140140000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,3.0,2.8806946280665947e-30,2.874845745739419e-30,55,370.8039848804474,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,3.0,2.9120856788110738e-30,2.9021353593459848e-30,54,374.41733717918396,1,135135000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,3.0,2.875362178236711e-30,2.868041131711315e-30,55,374.97068524360657,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,3.0,2.8619205279153784e-30,2.858064634808312e-30,55,376.0219624042511,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,3.0,2.8514975589986332e-30,2.844708636685369e-30,55,376.27764225006104,1,137637500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,5.0,6.79699155919819e-31,6.755259108049173e-31,50,622.3570318222046,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,5.0,7.001524439081944e-31,6.98492332259179e-31,51,627.2746541500092,1,127627500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,5.0,6.466313624792779e-31,6.446513100515935e-31,50,630.7186307907104,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,5.0,7.251079046908362e-31,7.149316461987688e-31,51,623.6389470100403,1,127627500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,5.0,6.745126863064521e-31,6.715038872045054e-31,50,628.4398648738861,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,5.0,6.78370607765853e-31,6.718390359154773e-31,50,624.3709285259247,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,5.0,6.836304274372491e-31,6.740006910484654e-31,50,618.1179113388062,1,125125000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,5.0,6.971104646444246e-31,6.935995290225457e-31,51,617.9354989528656,1,127627500
