algo,d,r,lr,kappa,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,1000,6,2000,0.004955979893656078,0.004435172523226102,34,29.29550862312317,1,144585000
Muon-Exact,50,5,0.01,1000,7,2000,0.005967455350434142,0.004787976128101109,34,29.26372766494751,1,144585000
Muon-Exact,50,5,0.01,10000,0,2000,0.004798429597183776,0.004611514541255777,33,29.40829873085022,1,140332500
Muon-Exact,50,5,0.01,10000,1,2000,0.004900997238307174,0.0045020542535643415,34,29.3969943523407,1,144585000
Muon-Exact,50,5,0.01,10000,2,2000,0.00482696361770075,0.004561451887447092,33,29.32642436027527,1,140332500
Muon-Exact,50,5,0.01,10000,3,2000,0.004925575948908033,0.0045908034281720725,35,29.218977451324463,1,148837500
Muon-Exact,50,5,0.01,10000,4,2000,0.004939939648628084,0.00466160544329614,34,29.16664743423462,1,144585000
Muon-Exact,50,5,0.01,10000,5,2000,0.004871300010565686,0.004675301511462242,36,29.24002242088318,1,153090000
Muon-Exact,50,5,0.01,10000,6,2000,0.005878613757772806,0.004637830032972383,34,29.808195114135742,1,144585000
Muon-Exact,50,5,0.01,10000,7,2000,0.005805313563357522,0.0046560141267379404,34,30.343727588653564,1,144585000
SGD,50,5,0.01,10,0,2000,1.530545253674597e-32,1.1541282645751877e-32,37,28.21218180656433,1,92592500
SGD,50,5,0.01,10,1,2000,1.4085457167146183e-32,1.2461163963236445e-32,38,28.184592723846436,1,95095000
SGD,50,5,0.01,10,2,2000,1.5674289185954892e-32,1.1494347131154054e-32,39,28.165855169296265,1,97597500
SGD,50,5,0.01,10,3,2000,1.403183224333625e-32,1.2739780010426537e-32,40,28.39775514602661,1,100100000
SGD,50,5,0.01,10,4,2000,1.4996157215473994e-32,1.1658328028856473e-32,40,28.177797317504883,1,100100000
SGD,50,5,0.01,10,5,2000,1.8799616829649966e-32,1.300710566947585e-32,39,28.43756675720215,1,97597500
SGD,50,5,0.01,10,6,2000,1.5000996114459265e-32,1.1698351260513271e-32,39,28.24080777168274,1,97597500
SGD,50,5,0.01,10,7,2000,1.5523175907693407e-32,1.1996894476017598e-32,39,28.351168394088745,1,97597500
SGD,50,5,0.01,100,0,2000,1.6221978523155548e-32,1.0777771793423863e-32,37,28.00947642326355,1,92592500
SGD,50,5,0.01,100,1,2000,1.4441320872620335e-32,1.1746643953868782e-32,38,28.14174246788025,1,95095000
SGD,50,5,0.01,100,2,2000,1.5123033869091577e-32,1.0945833255195954e-32,38,28.20470666885376,1,95095000
SGD,50,5,0.01,100,3,2000,1.6148239480409822e-32,1.2471118613636497e-32,39,28.502373933792114,1,97597500
SGD,50,5,0.01,100,4,2000,1.7179150659188316e-32,1.1301031912986184e-32,39,28.237942218780518,1,97597500
SGD,50,5,0.01,100,5,2000,1.646841329660205e-32,1.2057130944293846e-32,39,28.249321699142456,1,97597500
SGD,50,5,0.01,100,6,2000,1.4561402604652878e-32,1.1515339767547875e-32,38,28.42042565345764,1,95095000
SGD,50,5,0.01,100,7,2000,1.623520424519552e-32,1.1938502687516207e-32,38,29.036986589431763,1,95095000
SGD,50,5,0.01,1000,0,2000,1.3858477295403534e-32,1.0699666306382347e-32,36,28.037465810775757,1,90090000
SGD,50,5,0.01,1000,1,2000,1.6455157481906695e-32,1.252852336304139e-32,37,27.90239191055298,1,92592500
SGD,50,5,0.01,1000,2,2000,1.5329443153932127e-32,1.059956609752282e-32,38,27.896206378936768,1,95095000
SGD,50,5,0.01,1000,3,2000,1.448337578169332e-32,1.2186728397135845e-32,39,29.204516172409058,1,97597500
SGD,50,5,0.01,1000,4,2000,1.5129251011693302e-32,1.0714008465936956e-32,39,28.53646206855774,1,97597500
SGD,50,5,0.01,1000,5,2000,1.5170646468435476e-32,1.1029247086646688e-32,39,27.974576711654663,1,97597500
SGD,50,5,0.01,1000,6,2000,1.6935054085064922e-32,1.1792312567675064e-32,38,27.98744297027588,1,95095000
SGD,50,5,0.01,1000,7,2000,1.6410788870812875e-32,1.2315298844073418e-32,38,28.156221389770508,1,95095000
SGD,50,5,0.01,10000,0,2000,1.5844734738349545e-32,1.1757733849693084e-32,36,28.30361318588257,1,90090000
SGD,50,5,0.01,10000,1,2000,1.5780034776963902e-32,1.2248014675906927e-32,37,26.897897243499756,1,92592500
SGD,50,5,0.01,10000,2,2000,1.4799752233914874e-32,1.0733325693742436e-32,38,27.426490783691406,1,95095000
SGD,50,5,0.01,10000,3,2000,1.6895599792673924e-32,1.226116836365308e-32,39,27.387856006622314,1,97597500
SGD,50,5,0.01,10000,4,2000,1.6454772295917818e-32,1.0499748759623875e-32,39,26.921175241470337,1,97597500
SGD,50,5,0.01,10000,5,2000,1.4795306796398708e-32,1.1599539017304054e-32,39,26.807838916778564,1,97597500
SGD,50,5,0.01,10000,6,2000,1.527157723458352e-32,1.157624730203912e-32,38,26.856045722961426,1,95095000
SGD,50,5,0.01,10000,7,2000,1.4464299624269304e-32,1.2075267787692006e-32,38,26.908480644226074,1,95095000
