seed,direction,head_classes,tail_classes,warmup_steps,hidden_dim,momentum_beta,momentum_history_steps,newton_schulz_steps,head_gradient_fro_norm,momentum_fro_norm,gradient_momentum_cosine,direction_cosine_to_polar_grad,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,update_fro_norm,update_op_norm,step_size,alignment
5,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.37613366686688465,0.20082133638425903,0.7242444470073247,0.33768612616870636,0.09411919695614904,0.09226637157872183,0.001852825377427203,0.0018823839391229808,12.176572461421912,12.183526776273423,0.006954314851510546,0.19,0.19,0.0,-11.177556862982529,-11.191278196166,0.013721333183470463,0.6749986267457346,0.015093428141224694,0.005004561157215328,0.004383729370172889,0.005004561157215328,0.37613366686688465
5,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.37613366686688465,0.20082133638425903,0.7242444470073247,1.0,0.09411919695614904,0.09226089680204744,0.0018583001541015998,0.0018823839391229808,12.176572461421912,12.182177541176399,0.005605079754486653,0.19,0.19,0.0,-11.177556862982529,-11.18904686412339,0.011490001140860073,0.471176770638045,0.010535832885654956,0.014820156261661385,0.002286799758136026,0.002286799758136024,0.8231520632385043
5,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.37613366686688465,0.20082133638425903,0.7242444470073247,0.3799293062755634,0.09411919695614904,0.09227185629303049,0.001847340663118549,0.0018823839391229808,12.176572461421912,12.182134078063495,0.00556161664158239,0.19,0.19,0.0,-11.177556862982529,-11.190588543862981,0.013031680880452257,0.5729978692978,0.012812621867124197,0.018693490504174116,0.0028844682072786225,0.0028844682072786203,0.6525930618243612
5,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.37613366686688465,0.20082133638425903,0.7242444470073247,0.4203700232858044,0.09411919695614904,0.09227700195374061,0.0018421950024084255,0.0018823839391229808,12.176572461421912,12.182700896705327,0.006128435283415001,0.19,0.19,0.0,-11.177556862982529,-11.191966354281314,0.014409491298785326,0.6247132019684444,0.013969011860429972,0.010086139773427835,0.0032092737002649366,0.0032092737002649358,0.5865451547393992
6,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.7760014990268526,0.49906081640731426,0.9801479717824589,0.27499170534604006,0.1419396145581634,0.1391471478266722,0.0027924667314911944,0.002838792291163268,11.464374371250493,11.46374513013117,-0.0006292411193236092,0.19,0.19,0.0,-10.452985597780057,-10.453415912707205,0.0004303149271489559,0.5309438628737592,0.011872265696220515,0.003658230421878393,0.0034226919869564812,0.003658230421878393,0.7760014990268526
6,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.7760014990268526,0.49906081640731426,0.9801479717824589,1.0,0.1419396145581634,0.13913589511357022,0.002803719444593178,0.002838792291163268,11.464374371250493,11.463602249180104,-0.0007721220703889031,0.19,0.19,0.0,-10.452985597780057,-10.45401350473238,0.0010279069523235762,0.4124735159137826,0.00922318820501559,0.013303057331402057,0.0020527063109731054,0.002052706310973104,1.3829510222616856
6,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.7760014990268526,0.49906081640731426,0.9801479717824589,0.4435039902669137,0.1419396145581634,0.13913913139437267,0.0028004831637907235,0.002838792291163268,11.464374371250493,11.462303104849848,-0.002071266400644589,0.19,0.19,0.0,-10.452985597780057,-10.45199516967633,-0.000990428103726515,0.44392338255769004,0.009926428602006397,0.013952346441073432,0.0021528937956893017,0.002152893795689301,1.3185937443116464
6,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.7760014990268526,0.49906081640731426,0.9801479717824589,0.4420731613118727,0.1419396145581634,0.1391420412345749,0.002797573323588487,0.002838792291163268,11.464374371250493,11.462906627654021,-0.0014677435964713936,0.19,0.19,0.0,-10.452985597780057,-10.452308121474939,-0.000677476305117608,0.47299961757851994,0.010576592982369749,0.005576387971401177,0.0023836351484517616,0.0023836351484517607,1.1909508437174812
7,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3761149234273587,0.27632240416015175,0.6412262831267903,0.3525675708665109,0.09785756788470149,0.09593836362722319,0.0019192042574782964,0.0019571513576940296,12.198531688275327,12.200841648068353,0.0023099597930258398,0.19,0.19,0.0,-11.235379752294689,-11.240665455683985,0.005285703389295904,0.637721441715583,0.01425988494385214,0.00520359931443142,0.004298502073669341,0.005203599314431419,0.37611492342735875
7,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3761149234273587,0.27632240416015175,0.6412262831267903,1.0,0.09785756788470149,0.09592828445057344,0.001929283434128043,0.0019571513576940296,12.198531688275327,12.20039856693402,0.0018668786586921726,0.19,0.19,0.0,-11.235379752294689,-11.240996220309212,0.0056164680145229795,0.47147060258628676,0.010542403167757248,0.0147591546824413,0.002277387010109389,0.0022773870101093874,0.8593846144753516
7,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3761149234273587,0.27632240416015175,0.6412262831267903,0.4069342571445433,0.09785756788470149,0.0959352696843172,0.0019222982003842815,0.0019571513576940296,12.198531688275327,12.20101387317276,0.002482184897433015,0.19,0.19,0.0,-11.235379752294689,-11.244648317124943,0.009268564830254178,0.5426965450471533,0.012135063658797109,0.01798405059110887,0.0027749992520958396,0.002774999252095838,0.7052799586219265
7,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.3761149234273587,0.27632240416015175,0.6412262831267903,0.4387577937404726,0.09785756788470149,0.09594089459132026,0.0019166732933812297,0.0019571513576940296,12.198531688275327,12.201712248314283,0.0031805600389560595,0.19,0.19,0.0,-11.235379752294689,-11.246468395169108,0.011088642874419463,0.5964879474489859,0.01333787598255255,0.009334385026973847,0.0031606243673948965,0.0031606243673948957,0.619229345278758
